County,State,HealthCareCosts_PerCapita_LowerBound($),HealthCareCosts_PerCapita_UpperBound($),HealthCareCosts_PerCapita_AverageBound($)
Gray,TX,20004.00,21533.00,20769.00
Grayson,TX,21533.00,36976.00,29255.00
Gregg,TX,21533.00,36976.00,29255.00
Hale,TX,21533.00,36976.00,29255.00
Hall,TX,20004.00,21533.00,20769.00
Hansford,TX,17395.00,18752.00,18074.00
Hardeman,TX,21533.00,36976.00,29255.00
Harrison,TX,21533.00,36976.00,29255.00
Hartley,TX,21533.00,36976.00,29255.00
Haskell,TX,21533.00,36976.00,29255.00
Hemphill,TX,5293.00,17395.00,11344.00
Henderson,TX,21533.00,36976.00,29255.00
Hockley,TX,20004.00,21533.00,20769.00
Hood,TX,20004.00,21533.00,20769.00
Hopkins,TX,21533.00,36976.00,29255.00
Howard,TX,20004.00,21533.00,20769.00
Hunt,TX,21533.00,36976.00,29255.00
Hutchinson,TX,20004.00,21533.00,20769.00
Jack,TX,20004.00,21533.00,20769.00
Johnson,TX,21533.00,36976.00,29255.00
Jones,TX,21533.00,36976.00,29255.00
Kaufman,TX,21533.00,36976.00,29255.00
Kent,TX,20004.00,21533.00,20769.00
King,TX,,,#DIV/0!
Knox,TX,21533.00,36976.00,29255.00
Lamar,TX,18752.00,20004.00,19378.00
Lamb,TX,17395.00,18752.00,18074.00
Lipscomb,TX,5293.00,17395.00,11344.00
Lubbock,TX,20004.00,21533.00,20769.00
Lynn,TX,21533.00,36976.00,29255.00
Marion,TX,21533.00,36976.00,29255.00
Martin,TX,21533.00,36976.00,29255.00
Mitchell,TX,21533.00,36976.00,29255.00
Montague,TX,21533.00,36976.00,29255.00
Moore,TX,21533.00,36976.00,29255.00
Morris,TX,21533.00,36976.00,29255.00
Motley,TX,20004.00,21533.00,20769.00
Nolan,TX,20004.00,21533.00,20769.00
Ochiltree,TX,17395.00,18752.00,18074.00
Oldham,TX,5293.00,17395.00,11344.00
Palo Pinto,TX,20004.00,21533.00,20769.00
Panola,TX,21533.00,36976.00,29255.00
Parker,TX,21533.00,36976.00,29255.00
Parmer,TX,17395.00,18752.00,18074.00
Potter,TX,20004.00,21533.00,20769.00
Rains,TX,21533.00,36976.00,29255.00
Randall,TX,17395.00,18752.00,18074.00
Red River,TX,18752.00,20004.00,19378.00
Roberts,TX,5293.00,17395.00,11344.00
Rockwall,TX,21533.00,36976.00,29255.00
Rusk,TX,21533.00,36976.00,29255.00
Scurry,TX,20004.00,21533.00,20769.00
Shackelford,TX,20004.00,21533.00,20769.00
Sherman,TX,17395.00,18752.00,18074.00
Smith,TX,20004.00,21533.00,20769.00
Somervell,TX,21533.00,36976.00,29255.00
Stephens,TX,21533.00,36976.00,29255.00
Stonewall,TX,21533.00,36976.00,29255.00
Swisher,TX,20004.00,21533.00,20769.00
Tarrant,TX,21533.00,36976.00,29255.00
Taylor,TX,21533.00,36976.00,29255.00
Terry,TX,21533.00,36976.00,29255.00
Throckmorton,TX,21533.00,36976.00,29255.00
Titus,TX,21533.00,36976.00,29255.00
Upshur,TX,21533.00,36976.00,29255.00
Van Zandt,TX,21533.00,36976.00,29255.00
Wheeler,TX,21533.00,36976.00,29255.00
Wichita,TX,21533.00,36976.00,29255.00
Wilbarger,TX,21533.00,36976.00,29255.00
Wise,TX,21533.00,36976.00,29255.00
Wood,TX,20004.00,21533.00,20769.00
Yoakum,TX,21533.00,36976.00,29255.00
Young,TX,21533.00,36976.00,29255.00
Albany,WY,17395.00,18752.00,18074.00
Campbell,WY,5293.00,17395.00,11344.00
Converse,WY,21533.00,36976.00,29255.00
Crook,WY,18752.00,20004.00,19378.00
Goshen,WY,18752.00,20004.00,19378.00
Johnson,WY,17395.00,18752.00,18074.00
Laramie,WY,20004.00,21533.00,20769.00
Niobrara,WY,21533.00,36976.00,29255.00
Platte,WY,20004.00,21533.00,20769.00
Weston,WY,17395.00,18752.00,18074.00
Adams,ID,5293.00,17395.00,11344.00
Benewah,ID,17395.00,18752.00,18074.00
Bonner,ID,5293.00,17395.00,11344.00
Boundary,ID,17395.00,18752.00,18074.00
Clearwater,ID,17395.00,18752.00,18074.00
Idaho,ID,18752.00,20004.00,19378.00
Kootenai,ID,5293.00,17395.00,11344.00
Latah,ID,17395.00,18752.00,18074.00
Lemhi,ID,5293.00,17395.00,11344.00
Lewis,ID,5293.00,17395.00,11344.00
Nez Perce,ID,17395.00,18752.00,18074.00
Shoshone,ID,17395.00,18752.00,18074.00
Valley,ID,20004.00,21533.00,20769.00
Becker,MN,20004.00,21533.00,20769.00
Beltrami,MN,18752.00,20004.00,19378.00
Benton,MN,5293.00,17395.00,11344.00
Big Stone,MN,21533.00,36976.00,29255.00
Carver,MN,5293.00,17395.00,11344.00
Cass,MN,17395.00,18752.00,18074.00
Chippewa,MN,21533.00,36976.00,29255.00
Clay,MN,17395.00,18752.00,18074.00
Clearwater,MN,21533.00,36976.00,29255.00
Crow Wing,MN,18752.00,20004.00,19378.00
Douglas,MN,20004.00,21533.00,20769.00
Grant,MN,21533.00,36976.00,29255.00
Hubbard,MN,20004.00,21533.00,20769.00
Itasca,MN,17395.00,18752.00,18074.00
Kandiyohi,MN,18752.00,20004.00,19378.00
Kittson,MN,18752.00,20004.00,19378.00
Koochiching,MN,5293.00,17395.00,11344.00
Lac qui Parle,MN,5293.00,17395.00,11344.00
Lake of the Woods,MN,21533.00,36976.00,29255.00
McLeod,MN,18752.00,20004.00,19378.00
Mahnomen,MN,17395.00,18752.00,18074.00
Marshall,MN,18752.00,20004.00,19378.00
Meeker,MN,18752.00,20004.00,19378.00
Morrison,MN,18752.00,20004.00,19378.00
Norman,MN,18752.00,20004.00,19378.00
Otter Tail,MN,5293.00,17395.00,11344.00
Pennington,MN,20004.00,21533.00,20769.00
Polk,MN,18752.00,20004.00,19378.00
Pope,MN,18752.00,20004.00,19378.00
Red Lake,MN,18752.00,20004.00,19378.00
Renville,MN,21533.00,36976.00,29255.00
Roseau,MN,18752.00,20004.00,19378.00
Sherburne,MN,20004.00,21533.00,20769.00
Stearns,MN,17395.00,18752.00,18074.00
Stevens,MN,21533.00,36976.00,29255.00
Swift,MN,21533.00,36976.00,29255.00
Todd,MN,21533.00,36976.00,29255.00
Traverse,MN,18752.00,20004.00,19378.00
Wadena,MN,21533.00,36976.00,29255.00
Wilkin,MN,18752.00,20004.00,19378.00
Wright,MN,18752.00,20004.00,19378.00
Yellow Medicine,MN,21533.00,36976.00,29255.00
Beaverhead,MT,17395.00,18752.00,18074.00
Big Horn,MT,21533.00,36976.00,29255.00
Blaine,MT,20004.00,21533.00,20769.00
Broadwater,MT,5293.00,17395.00,11344.00
Carbon,MT,18752.00,20004.00,19378.00
Carter,MT,20004.00,21533.00,20769.00
Cascade,MT,17395.00,18752.00,18074.00
Chouteau,MT,17395.00,18752.00,18074.00
Custer,MT,5293.00,17395.00,11344.00
Daniels,MT,21533.00,36976.00,29255.00
Dawson,MT,17395.00,18752.00,18074.00
Deer Lodge,MT,20004.00,21533.00,20769.00
Fallon,MT,21533.00,36976.00,29255.00
Fergus,MT,17395.00,18752.00,18074.00
Flathead,MT,5293.00,17395.00,11344.00
Gallatin,MT,17395.00,18752.00,18074.00
Garfield,MT,20004.00,21533.00,20769.00
Glacier,MT,17395.00,18752.00,18074.00
Golden Valley,MT,5293.00,17395.00,11344.00
Granite,MT,18752.00,20004.00,19378.00
Hill,MT,5293.00,17395.00,11344.00
Jefferson,MT,5293.00,17395.00,11344.00
Judith Basin,MT,5293.00,17395.00,11344.00
Lake,MT,17395.00,18752.00,18074.00
Lewis and Clark,MT,5293.00,17395.00,11344.00
Liberty,MT,21533.00,36976.00,29255.00
Lincoln,MT,5293.00,17395.00,11344.00
McCone,MT,21533.00,36976.00,29255.00
Madison,MT,18752.00,20004.00,19378.00
Meagher,MT,17395.00,18752.00,18074.00
Mineral,MT,5293.00,17395.00,11344.00
Missoula,MT,5293.00,17395.00,11344.00
Musselshell,MT,21533.00,36976.00,29255.00
Park,MT,18752.00,20004.00,19378.00
Petroleum,MT,,,#DIV/0!
Phillips,MT,5293.00,17395.00,11344.00
Pondera,MT,5293.00,17395.00,11344.00
Powder River,MT,5293.00,17395.00,11344.00
Powell,MT,18752.00,20004.00,19378.00
Prairie,MT,5293.00,17395.00,11344.00
Ravalli,MT,5293.00,17395.00,11344.00
Richland,MT,17395.00,18752.00,18074.00
Roosevelt,MT,20004.00,21533.00,20769.00
Rosebud,MT,20004.00,21533.00,20769.00
Sanders,MT,5293.00,17395.00,11344.00
Sheridan,MT,5293.00,17395.00,11344.00
Silver Bow,MT,17395.00,18752.00,18074.00
Stillwater,MT,18752.00,20004.00,19378.00
Sweet Grass,MT,5293.00,17395.00,11344.00
Teton,MT,5293.00,17395.00,11344.00
Toole,MT,5293.00,17395.00,11344.00
Treasure,MT,5293.00,17395.00,11344.00
Valley,MT,21533.00,36976.00,29255.00
Wheatland,MT,21533.00,36976.00,29255.00
