FIPS Code,Name,State,Value,LowRange($),HighRange($),Average($)
47177,Warren,(TN),18833,"18,752","20,004","19,378"
47185,White,(TN),18650,"17,395","18,752","18,074"
47187,Williamson,(TN),17078,"5,293","17,395","11,344"
47189,Wilson,(TN),19839,"18,752","20,004","19,378"
13009,Baldwin,(GA),18550,"17,395","18,752","18,074"
13011,Banks,(GA),19690,"18,752","20,004","19,378"
13013,Barrow,(GA),18942,"18,752","20,004","19,378"
13021,Bibb,(GA),20797,"20,004","21,533","20,769"
13023,Bleckley,(GA),22344,"21,533","36,976","29,255"
13031,Bulloch,(GA),20954,"20,004","21,533","20,769"
13033,Burke,(GA),20187,"20,004","21,533","20,769"
13043,Candler,(GA),25281,"21,533","36,976","29,255"
13059,Clarke,(GA),18576,"17,395","18,752","18,074"
13073,Columbia,(GA),17758,"17,395","18,752","18,074"
13091,Dodge,(GA),21129,"20,004","21,533","20,769"
13093,Dooly,(GA),22166,"21,533","36,976","29,255"
13103,Effingham,(GA),20340,"20,004","21,533","20,769"
13105,Elbert,(GA),17108,"5,293","17,395","11,344"
13107,Emanuel,(GA),19589,"18,752","20,004","19,378"
13109,Evans,(GA),22269,"21,533","36,976","29,255"
13119,Franklin,(GA),19083,"18,752","20,004","19,378"
13125,Glascock,(GA),16855,"5,293","17,395","11,344"
13133,Greene,(GA),16395,"5,293","17,395","11,344"
13137,Habersham,(GA),16862,"5,293","17,395","11,344"
13139,Hall,(GA),18460,"17,395","18,752","18,074"
13141,Hancock,(GA),20509,"20,004","21,533","20,769"
13147,Hart,(GA),17305,"5,293","17,395","11,344"
13153,Houston,(GA),19193,"18,752","20,004","19,378"
13157,Jackson,(GA),19483,"18,752","20,004","19,378"
13159,Jasper,(GA),19659,"18,752","20,004","19,378"
13163,Jefferson,(GA),20252,"20,004","21,533","20,769"
13165,Jenkins,(GA),19492,"18,752","20,004","19,378"
13167,Johnson,(GA),19958,"18,752","20,004","19,378"
13169,Jones,(GA),18337,"17,395","18,752","18,074"
13175,Laurens,(GA),17971,"17,395","18,752","18,074"
13181,Lincoln,(GA),17839,"17,395","18,752","18,074"
13189,McDuffie,(GA),21670,"21,533","36,976","29,255"
13195,Madison,(GA),17229,"5,293","17,395","11,344"
13209,Montgomery,(GA),19017,"18,752","20,004","19,378"
13211,Morgan,(GA),15905,"5,293","17,395","11,344"
13217,Newton,(GA),20748,"20,004","21,533","20,769"
13219,Oconee,(GA),15289,"5,293","17,395","11,344"
13221,Oglethorpe,(GA),18275,"17,395","18,752","18,074"
13225,Peach,(GA),19966,"18,752","20,004","19,378"
13235,Pulaski,(GA),18747,"17,395","18,752","18,074"
13237,Putnam,(GA),16585,"5,293","17,395","11,344"
13241,Rabun,(GA),17978,"17,395","18,752","18,074"
13245,Richmond,(GA),21401,"20,004","21,533","20,769"
13251,Screven,(GA),21325,"20,004","21,533","20,769"
13257,Stephens,(GA),18050,"17,395","18,752","18,074"
13265,Taliaferro,(GA),17380,"5,293","17,395","11,344"
13279,Toombs,(GA),18143,"17,395","18,752","18,074"
13281,Towns,(GA),15856,"5,293","17,395","11,344"
13283,Treutlen,(GA),21086,"20,004","21,533","20,769"
13289,Twiggs,(GA),18936,"18,752","20,004","19,378"
13297,Walton,(GA),18705,"17,395","18,752","18,074"
13301,Warren,(GA),18321,"17,395","18,752","18,074"
13303,Washington,(GA),18738,"17,395","18,752","18,074"
13311,White,(GA),17251,"5,293","17,395","11,344"
13317,Wilkes,(GA),19520,"18,752","20,004","19,378"
13319,Wilkinson,(GA),18202,"17,395","18,752","18,074"
21011,Bath,(KY),17937,"17,395","18,752","18,074"
21013,Bell,(KY),21820,"21,533","36,976","29,255"
21019,Boyd,(KY),20510,"20,004","21,533","20,769"
21025,Breathitt,(KY),21221,"20,004","21,533","20,769"
21043,Carter,(KY),18179,"17,395","18,752","18,074"
21051,Clay,(KY),22369,"21,533","36,976","29,255"
21063,Elliott,(KY),22547,"21,533","36,976","29,255"
21069,Fleming,(KY),20290,"20,004","21,533","20,769"
21071,Floyd,(KY),22528,"21,533","36,976","29,255"
21095,Harlan,(KY),19990,"18,752","20,004","19,378"
21115,Johnson,(KY),20543,"20,004","21,533","20,769"
21119,Knott,(KY),18820,"18,752","20,004","19,378"
21121,Knox,(KY),21117,"20,004","21,533","20,769"
21127,Lawrence,(KY),19489,"18,752","20,004","19,378"
21129,Lee,(KY),23268,"21,533","36,976","29,255"
21131,Leslie,(KY),23791,"21,533","36,976","29,255"
21133,Letcher,(KY),20379,"20,004","21,533","20,769"
21153,Magoffin,(KY),20868,"20,004","21,533","20,769"
21159,Martin,(KY),24537,"21,533","36,976","29,255"
21165,Menifee,(KY),19233,"18,752","20,004","19,378"
21175,Morgan,(KY),21125,"20,004","21,533","20,769"
21189,Owsley,(KY),18119,"17,395","18,752","18,074"
21193,Perry,(KY),24263,"21,533","36,976","29,255"
21195,Pike,(KY),20519,"20,004","21,533","20,769"
21197,Powell,(KY),20556,"20,004","21,533","20,769"
21205,Rowan,(KY),20352,"20,004","21,533","20,769"
21237,Wolfe,(KY),18900,"18,752","20,004","19,378"
37003,Alexander,(NC),18307,"17,395","18,752","18,074"
37005,Alleghany,(NC),17120,"5,293","17,395","11,344"
37009,Ashe,(NC),16967,"5,293","17,395","11,344"
37011,Avery,(NC),18916,"18,752","20,004","19,378"
37021,Buncombe,(NC),17871,"17,395","18,752","18,074"
37023,Burke,(NC),17008,"5,293","17,395","11,344"
37027,Caldwell,(NC),19225,"18,752","20,004","19,378"
37035,Catawba,(NC),17599,"17,395","18,752","18,074"
37043,Clay,(NC),16398,"5,293","17,395","11,344"
37045,Cleveland,(NC),19194,"18,752","20,004","19,378"
37071,Gaston,(NC),20655,"20,004","21,533","20,769"
37075,Graham,(NC),17756,"17,395","18,752","18,074"
